OBCINA_TIP;Leto;Stevilo.gradbenih.dovoljenj
Ajdovscina_Stanovanjske stavbe;2007;52
Ajdovscina_Stanovanjske stavbe;2008;55
Ajdovscina_Stanovanjske stavbe;2009;45
Ajdovscina_Stanovanjske stavbe;2010;33
Ajdovscina_Stanovanjske stavbe;2011;52
Ajdovscina_Stanovanjske stavbe;2012;40
Ajdovscina_Stanovanjske stavbe;2013;29
Ajdovscina_Stanovanjske stavbe;2014;30
Ajdovscina_Stanovanjske stavbe;2015;38
Ajdovscina_Stanovanjske stavbe;2016;31
Ajdovscina_Stanovanjske stavbe;2017;33
Ajdovscina_Stanovanjske stavbe;2018;42
Ajdovscina_Stanovanjske stavbe;2019;38
Ajdovscina_Stanovanjske stavbe;2020;42
Ajdovscina_Nestanovanjske stavbe;2007;19
Ajdovscina_Nestanovanjske stavbe;2008;9
Ajdovscina_Nestanovanjske stavbe;2009;22
Ajdovscina_Nestanovanjske stavbe;2010;15
Ajdovscina_Nestanovanjske stavbe;2011;27
Ajdovscina_Nestanovanjske stavbe;2012;11
Ajdovscina_Nestanovanjske stavbe;2013;23
Ajdovscina_Nestanovanjske stavbe;2014;11
Ajdovscina_Nestanovanjske stavbe;2015;49
Ajdovscina_Nestanovanjske stavbe;2016;66
Ajdovscina_Nestanovanjske stavbe;2017;60
Ajdovscina_Nestanovanjske stavbe;2018;36
Ajdovscina_Nestanovanjske stavbe;2019;39
Ajdovscina_Nestanovanjske stavbe;2020;46
Ankaran/Ancarano_Stanovanjske stavbe;2007;NA
Ankaran/Ancarano_Stanovanjske stavbe;2008;NA
Ankaran/Ancarano_Stanovanjske stavbe;2009;NA
Ankaran/Ancarano_Stanovanjske stavbe;2010;NA
Ankaran/Ancarano_Stanovanjske stavbe;2011;NA
Ankaran/Ancarano_Stanovanjske stavbe;2012;NA
Ankaran/Ancarano_Stanovanjske stavbe;2013;NA
Ankaran/Ancarano_Stanovanjske stavbe;2014;NA
Ankaran/Ancarano_Stanovanjske stavbe;2015;3
Ankaran/Ancarano_Stanovanjske stavbe;2016;1
Ankaran/Ancarano_Stanovanjske stavbe;2017;1
Ankaran/Ancarano_Stanovanjske stavbe;2018;0
Ankaran/Ancarano_Stanovanjske stavbe;2019;0
Ankaran/Ancarano_Stanovanjske stavbe;2020;0
Ankaran/Ancarano_Nestanovanjske stavbe;2007;NA
Ankaran/Ancarano_Nestanovanjske stavbe;2008;NA
Ankaran/Ancarano_Nestanovanjske stavbe;2009;NA
Ankaran/Ancarano_Nestanovanjske stavbe;2010;NA
Ankaran/Ancarano_Nestanovanjske stavbe;2011;NA
Ankaran/Ancarano_Nestanovanjske stavbe;2012;NA
Ankaran/Ancarano_Nestanovanjske stavbe;2013;NA
Ankaran/Ancarano_Nestanovanjske stavbe;2014;NA
Ankaran/Ancarano_Nestanovanjske stavbe;2015;0
Ankaran/Ancarano_Nestanovanjske stavbe;2016;1
Ankaran/Ancarano_Nestanovanjske stavbe;2017;1
Ankaran/Ancarano_Nestanovanjske stavbe;2018;0
Ankaran/Ancarano_Nestanovanjske stavbe;2019;0
Ankaran/Ancarano_Nestanovanjske stavbe;2020;0
Apace_Stanovanjske stavbe;2007;10
Apace_Stanovanjske stavbe;2008;11
Apace_Stanovanjske stavbe;2009;22
Apace_Stanovanjske stavbe;2010;12
Apace_Stanovanjske stavbe;2011;7
Apace_Stanovanjske stavbe;2012;5
Apace_Stanovanjske stavbe;2013;9
Apace_Stanovanjske stavbe;2014;10
Apace_Stanovanjske stavbe;2015;12
Apace_Stanovanjske stavbe;2016;10
Apace_Stanovanjske stavbe;2017;11
Apace_Stanovanjske stavbe;2018;15
Apace_Stanovanjske stavbe;2019;9
Apace_Stanovanjske stavbe;2020;5
Apace_Nestanovanjske stavbe;2007;3
Apace_Nestanovanjske stavbe;2008;3
Apace_Nestanovanjske stavbe;2009;8
Apace_Nestanovanjske stavbe;2010;3
Apace_Nestanovanjske stavbe;2011;4
Apace_Nestanovanjske stavbe;2012;6
Apace_Nestanovanjske stavbe;2013;2
Apace_Nestanovanjske stavbe;2014;3
Apace_Nestanovanjske stavbe;2015;17
Apace_Nestanovanjske stavbe;2016;29
Apace_Nestanovanjske stavbe;2017;30
Apace_Nestanovanjske stavbe;2018;15
Apace_Nestanovanjske stavbe;2019;30
Apace_Nestanovanjske stavbe;2020;23
Beltinci_Stanovanjske stavbe;2007;16
Beltinci_Stanovanjske stavbe;2008;19
Beltinci_Stanovanjske stavbe;2009;11
Beltinci_Stanovanjske stavbe;2010;15
Beltinci_Stanovanjske stavbe;2011;19
Beltinci_Stanovanjske stavbe;2012;14
Beltinci_Stanovanjske stavbe;2013;5
Beltinci_Stanovanjske stavbe;2014;13
Beltinci_Stanovanjske stavbe;2015;23
Beltinci_Stanovanjske stavbe;2016;22
Beltinci_Stanovanjske stavbe;2017;15
Beltinci_Stanovanjske stavbe;2018;25
Beltinci_Stanovanjske stavbe;2019;24
Beltinci_Stanovanjske stavbe;2020;17
Beltinci_Nestanovanjske stavbe;2007;4
Beltinci_Nestanovanjske stavbe;2008;6
Beltinci_Nestanovanjske stavbe;2009;1
Beltinci_Nestanovanjske stavbe;2010;3
Beltinci_Nestanovanjske stavbe;2011;8
Beltinci_Nestanovanjske stavbe;2012;4
Beltinci_Nestanovanjske stavbe;2013;4
Beltinci_Nestanovanjske stavbe;2014;5
Beltinci_Nestanovanjske stavbe;2015;25
Beltinci_Nestanovanjske stavbe;2016;40
Beltinci_Nestanovanjske stavbe;2017;33
Beltinci_Nestanovanjske stavbe;2018;26
Beltinci_Nestanovanjske stavbe;2019;29
Beltinci_Nestanovanjske stavbe;2020;38
Benedikt_Stanovanjske stavbe;2007;11
Benedikt_Stanovanjske stavbe;2008;12
Benedikt_Stanovanjske stavbe;2009;6
Benedikt_Stanovanjske stavbe;2010;9
Benedikt_Stanovanjske stavbe;2011;7
Benedikt_Stanovanjske stavbe;2012;3
Benedikt_Stanovanjske stavbe;2013;16
Benedikt_Stanovanjske stavbe;2014;10
Benedikt_Stanovanjske stavbe;2015;13
Benedikt_Stanovanjske stavbe;2016;15
Benedikt_Stanovanjske stavbe;2017;14
Benedikt_Stanovanjske stavbe;2018;7
Benedikt_Stanovanjske stavbe;2019;15
