OBCINE;TIP.STAVBE;Leto;Stevilo.gradbenih.dovoljenj
Ajdovscina;Stanovanjske stavbe;2007;52
Ajdovscina;Stanovanjske stavbe;2008;55
Ajdovscina;Stanovanjske stavbe;2009;45
Ajdovscina;Stanovanjske stavbe;2010;33
Ajdovscina;Stanovanjske stavbe;2011;52
Ajdovscina;Stanovanjske stavbe;2012;40
Ajdovscina;Stanovanjske stavbe;2013;29
Ajdovscina;Stanovanjske stavbe;2014;30
Ajdovscina;Stanovanjske stavbe;2015;38
Ajdovscina;Stanovanjske stavbe;2016;31
Ajdovscina;Stanovanjske stavbe;2017;33
Ajdovscina;Stanovanjske stavbe;2018;42
Ajdovscina;Stanovanjske stavbe;2019;38
Ajdovscina;Stanovanjske stavbe;2020;42
Ajdovscina;Nestanovanjske stavbe;2007;19
Ajdovscina;Nestanovanjske stavbe;2008;9
Ajdovscina;Nestanovanjske stavbe;2009;22
Ajdovscina;Nestanovanjske stavbe;2010;15
Ajdovscina;Nestanovanjske stavbe;2011;27
Ajdovscina;Nestanovanjske stavbe;2012;11
Ajdovscina;Nestanovanjske stavbe;2013;23
Ajdovscina;Nestanovanjske stavbe;2014;11
Ajdovscina;Nestanovanjske stavbe;2015;49
Ajdovscina;Nestanovanjske stavbe;2016;66
Ajdovscina;Nestanovanjske stavbe;2017;60
Ajdovscina;Nestanovanjske stavbe;2018;36
Ajdovscina;Nestanovanjske stavbe;2019;39
Ajdovscina;Nestanovanjske stavbe;2020;46
Ankaran/Ancarano;Stanovanjske stavbe;2007;NA
Ankaran/Ancarano;Stanovanjske stavbe;2008;NA
Ankaran/Ancarano;Stanovanjske stavbe;2009;NA
Ankaran/Ancarano;Stanovanjske stavbe;2010;NA
Ankaran/Ancarano;Stanovanjske stavbe;2011;NA
Ankaran/Ancarano;Stanovanjske stavbe;2012;NA
Ankaran/Ancarano;Stanovanjske stavbe;2013;NA
Ankaran/Ancarano;Stanovanjske stavbe;2014;NA
Ankaran/Ancarano;Stanovanjske stavbe;2015;3
Ankaran/Ancarano;Stanovanjske stavbe;2016;1
Ankaran/Ancarano;Stanovanjske stavbe;2017;1
Ankaran/Ancarano;Stanovanjske stavbe;2018;0
Ankaran/Ancarano;Stanovanjske stavbe;2019;0
Ankaran/Ancarano;Stanovanjske stavbe;2020;0
Ankaran/Ancarano;Nestanovanjske stavbe;2007;NA
Ankaran/Ancarano;Nestanovanjske stavbe;2008;NA
Ankaran/Ancarano;Nestanovanjske stavbe;2009;NA
Ankaran/Ancarano;Nestanovanjske stavbe;2010;NA
Ankaran/Ancarano;Nestanovanjske stavbe;2011;NA
Ankaran/Ancarano;Nestanovanjske stavbe;2012;NA
Ankaran/Ancarano;Nestanovanjske stavbe;2013;NA
Ankaran/Ancarano;Nestanovanjske stavbe;2014;NA
Ankaran/Ancarano;Nestanovanjske stavbe;2015;0
Ankaran/Ancarano;Nestanovanjske stavbe;2016;1
Ankaran/Ancarano;Nestanovanjske stavbe;2017;1
Ankaran/Ancarano;Nestanovanjske stavbe;2018;0
Ankaran/Ancarano;Nestanovanjske stavbe;2019;0
Ankaran/Ancarano;Nestanovanjske stavbe;2020;0
Apace;Stanovanjske stavbe;2007;10
Apace;Stanovanjske stavbe;2008;11
Apace;Stanovanjske stavbe;2009;22
Apace;Stanovanjske stavbe;2010;12
Apace;Stanovanjske stavbe;2011;7
Apace;Stanovanjske stavbe;2012;5
Apace;Stanovanjske stavbe;2013;9
Apace;Stanovanjske stavbe;2014;10
Apace;Stanovanjske stavbe;2015;12
Apace;Stanovanjske stavbe;2016;10
Apace;Stanovanjske stavbe;2017;11
Apace;Stanovanjske stavbe;2018;15
Apace;Stanovanjske stavbe;2019;9
Apace;Stanovanjske stavbe;2020;5
Apace;Nestanovanjske stavbe;2007;3
Apace;Nestanovanjske stavbe;2008;3
Apace;Nestanovanjske stavbe;2009;8
Apace;Nestanovanjske stavbe;2010;3
Apace;Nestanovanjske stavbe;2011;4
Apace;Nestanovanjske stavbe;2012;6
Apace;Nestanovanjske stavbe;2013;2
Apace;Nestanovanjske stavbe;2014;3
Apace;Nestanovanjske stavbe;2015;17
Apace;Nestanovanjske stavbe;2016;29
Apace;Nestanovanjske stavbe;2017;30
Apace;Nestanovanjske stavbe;2018;15
Apace;Nestanovanjske stavbe;2019;30
Apace;Nestanovanjske stavbe;2020;23
Beltinci;Stanovanjske stavbe;2007;16
Beltinci;Stanovanjske stavbe;2008;19
Beltinci;Stanovanjske stavbe;2009;11
Beltinci;Stanovanjske stavbe;2010;15
Beltinci;Stanovanjske stavbe;2011;19
Beltinci;Stanovanjske stavbe;2012;14
Beltinci;Stanovanjske stavbe;2013;5
Beltinci;Stanovanjske stavbe;2014;13
Beltinci;Stanovanjske stavbe;2015;23
Beltinci;Stanovanjske stavbe;2016;22
Beltinci;Stanovanjske stavbe;2017;15
Beltinci;Stanovanjske stavbe;2018;25
Beltinci;Stanovanjske stavbe;2019;24
Beltinci;Stanovanjske stavbe;2020;17
Beltinci;Nestanovanjske stavbe;2007;4
Beltinci;Nestanovanjske stavbe;2008;6
Beltinci;Nestanovanjske stavbe;2009;1
Beltinci;Nestanovanjske stavbe;2010;3
Beltinci;Nestanovanjske stavbe;2011;8
Beltinci;Nestanovanjske stavbe;2012;4
Beltinci;Nestanovanjske stavbe;2013;4
Beltinci;Nestanovanjske stavbe;2014;5
Beltinci;Nestanovanjske stavbe;2015;25
Beltinci;Nestanovanjske stavbe;2016;40
Beltinci;Nestanovanjske stavbe;2017;33
Beltinci;Nestanovanjske stavbe;2018;26
Beltinci;Nestanovanjske stavbe;2019;29
Beltinci;Nestanovanjske stavbe;2020;38
Benedikt;Stanovanjske stavbe;2007;11
Benedikt;Stanovanjske stavbe;2008;12
Benedikt;Stanovanjske stavbe;2009;6
Benedikt;Stanovanjske stavbe;2010;9
Benedikt;Stanovanjske stavbe;2011;7
Benedikt;Stanovanjske stavbe;2012;3
Benedikt;Stanovanjske stavbe;2013;16
Benedikt;Stanovanjske stavbe;2014;10
Benedikt;Stanovanjske stavbe;2015;13
Benedikt;Stanovanjske stavbe;2016;15
Benedikt;Stanovanjske stavbe;2017;14
Benedikt;Stanovanjske stavbe;2018;7
