"Gender";"Country";"Age";"EmploymentStatus";"CurrentJobTitle";"LanguageRecommendation";"FormalEducation";"Major";"CompensationAmount";"CompensationCurrency";"TimeGatheringData";"TimeModelBuilding";"TimeProduction";"TimeVisualizing";"TimeFindingInsights";"TimeOtherSelect";"ExchangeRate"
"Female";"Australia";43;"Employed full-time";"Business Analyst";"Python";"Bachelor's degree";"";80000;"AUD";60;10;5;15;10;0;0,80231
"Male";"Russia";33;"Employed full-time";"Software Developer/Software Engineer";"Python";"Bachelor's degree";"Other";1200000;"RUB";40;30;15;10;5;0;0,017402
"Male";"Taiwan";26;"Employed full-time";"Software Developer/Software Engineer";"Python";"Master's degree";"Computer Science";1100000;"TWD";35;20;25;10;10;0;0,033304
"Male";"United States";25;"Employed part-time";"Researcher";"Python";"Bachelor's degree";"Physics";20000;"USD";0;80;0;20;0;0;1
"Male";"United States";33;"Employed full-time";"Scientist/Researcher";"Matlab";"Doctoral degree";"Electrical Engineering";1e+05;"USD";0;0;0;0;0;0;1
"Male";"Czech Republic";21;"Employed part-time";"Other";"Python";"Some college/university study without earning a bachelor's degree";"Computer Science";20000;"CZK";20;60;20;0;0;0;0,04582
"Male";"Russia";22;"Employed full-time";"Data Analyst";"Python";"Bachelor's degree";"Information technology, networking, or system administration";624000;"RUB";50;20;10;5;15;0;0,017402
"Male";"Netherlands";51;"Employed full-time";"Engineer";"R";"Master's degree";"Biology";65000;"";25;30;10;25;10;0;NA
"Male";"Colombia";34;"Employed full-time";"Data Scientist";"Python";"Master's degree";"Computer Science";1,56e+08;"COP";60;10;20;5;5;0;0,000342
"Male";"Germany";41;"Independent contractor, freelancer, or self-employed";"Data Scientist";"Python";"I did not complete any formal education past high school";"";150000;"EUR";50;10;20;10;10;0;1,195826
"Male";"Poland";29;"Employed full-time";"Software Developer/Software Engineer";"Python";"Master's degree";"Computer Science";126000;"PLN";25;20;25;20;10;0;0,281104
"Male";"United States";35;"Employed full-time";"Engineer";"Python";"Doctoral degree";"Physics";133000;"USD";30;20;5;15;30;0;1
"Male";"Sweden";37;"Employed full-time";"Machine Learning Engineer";"Python";"Master's degree";"Electrical Engineering";80000;"USD";15;35;20;10;20;0;1
"Male";"Portugal";30;"Employed full-time";"Data Scientist";"Python";"Master's degree";"Physics";30000;"EUR";50;30;10;10;0;0;1,195826
"Male";"Other";28;"Employed full-time";"Data Scientist";"R";"Master's degree";"A social science";28000;"";50;20;5;20;5;0;NA
"Male";"Mexico";26;"Employed part-time";"Data Scientist";"Python";"Some college/university study without earning a bachelor's degree";"A social science";2e+05;"MXN";40;40;10;5;5;0;0,056414
"Male";"Iran";31;"Employed part-time";"Scientist/Researcher";"Python";"Doctoral degree";"Computer Science";15000;"USD";30;30;30;10;0;0;1
"Male";"Singapore";24;"Employed full-time";"Data Analyst";"Python";"Bachelor's degree";"Computer Science";72000;"";50;30;10;10;0;0;NA
"Male";"India";29;"Employed full-time";"Data Scientist";"R";"Master's degree";"Computer Science";120000;"INR";30;30;20;10;10;0;0,01562
"Female";"Germany";49;"Employed part-time";"Scientist/Researcher";"Python";"Doctoral degree";"Computer Science";150000;"";70;10;5;10;5;0;NA
