"OBÈINE";"TIP.STAVBE";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Ajdovšèina";"Stanovanjske stavbe";52;55;45;33;52;40;29;30;38;31;33;42;38;42
"Ajdovšèina";"Nestanovanjske stavbe";19;9;22;15;27;11;23;11;49;66;60;36;39;46
"Ankaran/Ancarano";"Stanovanjske stavbe";NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;0;0;0
"Ankaran/Ancarano";"Nestanovanjske stavbe";NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;0;0;0
"Apaèe";"Stanovanjske stavbe";10;11;22;12;7;5;9;10;12;10;11;15;9;5
"Apaèe";"Nestanovanjske stavbe";3;3;8;3;4;6;2;3;17;29;30;15;30;23
"Beltinci";"Stanovanjske stavbe";16;19;11;15;19;14;5;13;23;22;15;25;24;17
"Beltinci";"Nestanovanjske stavbe";4;6;1;3;8;4;4;5;25;40;33;26;29;38
"Benedikt";"Stanovanjske stavbe";11;12;6;9;7;3;16;10;13;15;14;7;15;13
"Benedikt";"Nestanovanjske stavbe";3;2;1;3;5;3;4;3;2;17;11;20;23;26
"Bistrica ob Sotli";"Stanovanjske stavbe";3;4;1;2;5;8;4;1;0;1;1;4;4;0
"Bistrica ob Sotli";"Nestanovanjske stavbe";1;1;3;3;2;4;2;0;5;2;10;2;4;4
"Bled";"Stanovanjske stavbe";21;2;9;4;13;14;13;6;12;10;8;18;11;10
"Bled";"Nestanovanjske stavbe";6;7;1;2;2;0;1;0;3;8;2;15;6;4
"Bloke";"Stanovanjske stavbe";6;7;8;5;1;3;4;2;0;3;1;7;3;1
"Bloke";"Nestanovanjske stavbe";8;1;0;1;1;1;0;2;0;6;12;3;9;0
"Bohinj";"Stanovanjske stavbe";13;6;7;12;10;5;9;5;9;7;11;15;4;9
"Bohinj";"Nestanovanjske stavbe";3;12;2;4;6;6;3;1;6;11;17;20;12;5
"Borovnica";"Stanovanjske stavbe";9;10;22;3;11;7;7;6;2;6;6;0;2;5
"Borovnica";"Nestanovanjske stavbe";1;1;1;0;0;0;2;1;0;4;1;0;3;3
"Bovec";"Stanovanjske stavbe";11;8;8;8;4;4;11;2;6;4;3;5;4;7
"Bovec";"Nestanovanjske stavbe";9;2;8;2;7;4;1;8;14;12;6;4;7;10
"Braslovèe";"Stanovanjske stavbe";24;13;15;18;19;12;14;5;16;18;19;22;10;17
"Braslovèe";"Nestanovanjske stavbe";2;0;2;2;4;0;8;2;4;3;5;4;20;18
"Brda";"Stanovanjske stavbe";23;16;12;10;7;13;10;7;10;10;11;22;8;8
"Brda";"Nestanovanjske stavbe";9;11;8;10;9;7;4;3;15;10;9;20;21;3
"Brezovica";"Stanovanjske stavbe";36;31;31;22;8;26;20;9;10;29;29;23;12;14
"Brezovica";"Nestanovanjske stavbe";4;4;5;0;1;3;0;3;2;5;5;8;5;2
"Brežice";"Stanovanjske stavbe";51;60;74;50;18;28;23;34;24;43;39;35;38;48
"Brežice";"Nestanovanjske stavbe";33;42;35;32;26;16;16;19;77;142;102;58;109;85
"Cankova";"Stanovanjske stavbe";3;2;5;4;0;3;3;1;1;2;6;2;1;4
"Cankova";"Nestanovanjske stavbe";3;1;4;1;2;1;3;1;3;7;8;9;9;12
"Celje";"Stanovanjske stavbe";59;58;27;21;18;13;22;13;17;19;18;31;24;30
"Celje";"Nestanovanjske stavbe";21;15;3;1;0;0;2;0;2;29;28;59;56;40
"Cerklje na Gorenjskem";"Stanovanjske stavbe";25;32;25;10;12;7;13;7;18;11;20;14;16;11
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";6;4;3;4;4;1;4;1;3;6;2;11;8;5
"Cerknica";"Stanovanjske stavbe";30;32;27;23;25;17;11;18;21;24;14;15;7;11
"Cerknica";"Nestanovanjske stavbe";18;13;7;5;6;4;7;6;4;43;39;34;18;17
"Cerkno";"Stanovanjske stavbe";5;11;6;1;3;5;13;13;10;4;5;8;5;3
"Cerkno";"Nestanovanjske stavbe";4;7;2;1;0;3;3;6;9;17;21;11;12;10
"Cerkvenjak";"Stanovanjske stavbe";8;11;12;11;4;4;8;7;5;12;5;8;4;8
"Cerkvenjak";"Nestanovanjske stavbe";3;3;2;3;6;3;3;0;0;21;19;16;20;19
"Cirkulane";"Stanovanjske stavbe";4;3;1;0;2;1;3;3;16;8;4;4;9;5
"Cirkulane";"Nestanovanjske stavbe";0;3;0;2;0;0;0;0;5;9;4;2;8;7
"Èrenšovci";"Stanovanjske stavbe";16;16;12;12;9;9;14;1;9;4;6;12;10;13
"Èrenšovci";"Nestanovanjske stavbe";4;3;5;2;3;4;1;0;19;29;32;26;28;22
"Èrna na Koroškem";"Stanovanjske stavbe";2;5;0;2;4;4;6;2;3;3;3;0;1;4
"Èrna na Koroškem";"Nestanovanjske stavbe";6;1;2;2;3;3;3;3;1;4;3;1;0;5
"Èrnomelj";"Stanovanjske stavbe";25;28;13;23;14;11;15;14;12;15;16;13;10;11
"Èrnomelj";"Nestanovanjske stavbe";16;30;13;16;32;21;14;14;9;32;40;35;50;26
"Destrnik";"Stanovanjske stavbe";3;9;6;3;2;2;6;5;8;9;8;12;8;7
"Destrnik";"Nestanovanjske stavbe";1;1;1;0;0;1;1;1;0;19;8;1;3;4
"Divaèa";"Stanovanjske stavbe";16;13;6;10;10;8;3;2;2;4;6;5;6;3
"Divaèa";"Nestanovanjske stavbe";4;2;4;2;1;2;0;0;1;11;21;4;5;1
"Dobje";"Stanovanjske stavbe";3;2;1;5;1;3;3;3;1;2;3;0;2;2
"Dobje";"Nestanovanjske stavbe";0;2;0;1;3;0;2;2;2;6;4;5;1;0
"Dobrepolje";"Stanovanjske stavbe";19;20;10;6;8;5;11;4;4;9;3;4;2;4
"Dobrepolje";"Nestanovanjske stavbe";2;4;4;2;1;4;0;3;4;6;17;8;10;2
"Dobrna";"Stanovanjske stavbe";5;9;3;4;3;1;4;3;4;2;6;3;2;0
"Dobrna";"Nestanovanjske stavbe";4;0;0;1;0;0;0;0;0;0;3;6;3;8
"Dobrova - Polhov Gradec";"Stanovanjske stavbe";8;7;9;12;6;6;27;8;9;16;19;11;12;16
"Dobrova - Polhov Gradec";"Nestanovanjske stavbe";0;0;1;1;0;0;1;3;1;9;9;2;7;3
"Dobrovnik/Dobronak";"Stanovanjske stavbe";2;0;1;3;2;0;1;6;5;1;6;2;3;3
"Dobrovnik/Dobronak";"Nestanovanjske stavbe";4;6;6;8;2;4;1;1;10;13;12;7;11;8
"Dol pri Ljubljani";"Stanovanjske stavbe";13;34;20;10;5;6;2;7;5;34;9;10;4;11
"Dol pri Ljubljani";"Nestanovanjske stavbe";0;2;3;0;0;3;1;1;0;0;1;4;1;3
"Dolenjske Toplice";"Stanovanjske stavbe";4;5;6;7;1;4;3;5;8;8;9;5;6;7
"Dolenjske Toplice";"Nestanovanjske stavbe";4;4;1;1;0;2;2;2;16;18;14;18;15;17
"Domžale";"Stanovanjske stavbe";52;32;21;43;38;30;28;18;27;37;52;33;48;54
"Domžale";"Nestanovanjske stavbe";8;4;5;3;7;1;4;0;1;17;4;12;39;38
"Dornava";"Stanovanjske stavbe";6;9;7;0;5;3;7;11;7;3;5;5;1;3
"Dornava";"Nestanovanjske stavbe";1;0;3;0;0;2;0;1;1;15;11;10;7;4
"Dravograd";"Stanovanjske stavbe";15;17;8;13;21;16;9;7;10;8;7;7;5;8
"Dravograd";"Nestanovanjske stavbe";11;7;10;10;9;7;3;1;29;49;20;40;16;22
"Duplek";"Stanovanjske stavbe";30;46;31;15;11;14;13;5;9;11;11;22;13;12
"Duplek";"Nestanovanjske stavbe";3;3;9;2;2;4;2;5;1;25;16;23;16;6
"Gorenja vas - Poljane";"Stanovanjske stavbe";22;30;22;15;32;10;19;5;10;23;14;16;12;9
"Gorenja vas - Poljane";"Nestanovanjske stavbe";7;5;13;10;7;6;7;2;6;13;24;9;7;6
"Gorišnica";"Stanovanjske stavbe";5;7;1;3;1;1;11;10;4;15;16;12;5;8
"Gorišnica";"Nestanovanjske stavbe";3;5;2;1;2;0;3;2;3;14;6;7;12;7
"Gorje";"Stanovanjske stavbe";5;9;4;3;1;8;1;3;6;1;2;5;2;4
"Gorje";"Nestanovanjske stavbe";1;0;3;1;0;1;0;0;1;1;2;3;3;0
"Gornja Radgona";"Stanovanjske stavbe";20;29;35;23;14;17;16;13;16;11;19;26;17;12
"Gornja Radgona";"Nestanovanjske stavbe";11;16;14;14;3;10;3;0;52;66;82;46;59;70
"Gornji Grad";"Stanovanjske stavbe";6;7;4;5;0;1;2;0;3;1;4;2;2;4
"Gornji Grad";"Nestanovanjske stavbe";1;1;0;1;2;1;0;0;4;9;0;6;13;12
"Gornji Petrovci";"Stanovanjske stavbe";6;10;1;4;4;6;2;3;4;4;4;7;1;7
"Gornji Petrovci";"Nestanovanjske stavbe";3;4;1;1;1;0;1;0;6;6;8;22;11;8
"Grad";"Stanovanjske stavbe";5;6;4;4;3;2;10;7;2;4;5;4;3;3
"Grad";"Nestanovanjske stavbe";3;2;2;2;1;2;3;2;3;3;8;7;5;6
"Grosuplje";"Stanovanjske stavbe";57;68;49;41;29;19;39;30;25;22;36;32;33;40
"Grosuplje";"Nestanovanjske stavbe";7;10;11;7;14;11;16;5;4;37;46;32;13;23
"Hajdina";"Stanovanjske stavbe";3;6;5;6;5;4;3;6;7;12;8;4;13;16
