"OBÈINA_TIP";"Leto";"Število.gradbenih.dovoljenj"
"Ajdovšèina_Stanovanjske stavbe";"2007";52
"Ajdovšèina_Stanovanjske stavbe";"2008";55
"Ajdovšèina_Stanovanjske stavbe";"2009";45
"Ajdovšèina_Stanovanjske stavbe";"2010";33
"Ajdovšèina_Stanovanjske stavbe";"2011";52
"Ajdovšèina_Stanovanjske stavbe";"2012";40
"Ajdovšèina_Stanovanjske stavbe";"2013";29
"Ajdovšèina_Stanovanjske stavbe";"2014";30
"Ajdovšèina_Stanovanjske stavbe";"2015";38
"Ajdovšèina_Stanovanjske stavbe";"2016";31
"Ajdovšèina_Stanovanjske stavbe";"2017";33
"Ajdovšèina_Stanovanjske stavbe";"2018";42
"Ajdovšèina_Stanovanjske stavbe";"2019";38
"Ajdovšèina_Stanovanjske stavbe";"2020";42
"Ajdovšèina_Nestanovanjske stavbe";"2007";19
"Ajdovšèina_Nestanovanjske stavbe";"2008";9
"Ajdovšèina_Nestanovanjske stavbe";"2009";22
"Ajdovšèina_Nestanovanjske stavbe";"2010";15
"Ajdovšèina_Nestanovanjske stavbe";"2011";27
"Ajdovšèina_Nestanovanjske stavbe";"2012";11
"Ajdovšèina_Nestanovanjske stavbe";"2013";23
"Ajdovšèina_Nestanovanjske stavbe";"2014";11
"Ajdovšèina_Nestanovanjske stavbe";"2015";49
"Ajdovšèina_Nestanovanjske stavbe";"2016";66
"Ajdovšèina_Nestanovanjske stavbe";"2017";60
"Ajdovšèina_Nestanovanjske stavbe";"2018";36
"Ajdovšèina_Nestanovanjske stavbe";"2019";39
"Ajdovšèina_Nestanovanjske stavbe";"2020";46
"Ankaran/Ancarano_Stanovanjske stavbe";"2007";NA
"Ankaran/Ancarano_Stanovanjske stavbe";"2008";NA
"Ankaran/Ancarano_Stanovanjske stavbe";"2009";NA
"Ankaran/Ancarano_Stanovanjske stavbe";"2010";NA
"Ankaran/Ancarano_Stanovanjske stavbe";"2011";NA
"Ankaran/Ancarano_Stanovanjske stavbe";"2012";NA
"Ankaran/Ancarano_Stanovanjske stavbe";"2013";NA
"Ankaran/Ancarano_Stanovanjske stavbe";"2014";NA
"Ankaran/Ancarano_Stanovanjske stavbe";"2015";3
"Ankaran/Ancarano_Stanovanjske stavbe";"2016";1
"Ankaran/Ancarano_Stanovanjske stavbe";"2017";1
"Ankaran/Ancarano_Stanovanjske stavbe";"2018";0
"Ankaran/Ancarano_Stanovanjske stavbe";"2019";0
"Ankaran/Ancarano_Stanovanjske stavbe";"2020";0
"Ankaran/Ancarano_Nestanovanjske stavbe";"2007";NA
"Ankaran/Ancarano_Nestanovanjske stavbe";"2008";NA
"Ankaran/Ancarano_Nestanovanjske stavbe";"2009";NA
"Ankaran/Ancarano_Nestanovanjske stavbe";"2010";NA
"Ankaran/Ancarano_Nestanovanjske stavbe";"2011";NA
