"OBÈINE";"TIP.STAVBE";"Leto";"Število.gradbenih.dovoljenj"
"Ajdovšèina";"Stanovanjske stavbe";"2007";52
"Ajdovšèina";"Stanovanjske stavbe";"2008";55
"Ajdovšèina";"Stanovanjske stavbe";"2009";45
"Ajdovšèina";"Stanovanjske stavbe";"2010";33
"Ajdovšèina";"Stanovanjske stavbe";"2011";52
"Ajdovšèina";"Stanovanjske stavbe";"2012";40
"Ajdovšèina";"Stanovanjske stavbe";"2013";29
"Ajdovšèina";"Stanovanjske stavbe";"2014";30
"Ajdovšèina";"Stanovanjske stavbe";"2015";38
"Ajdovšèina";"Stanovanjske stavbe";"2016";31
"Ajdovšèina";"Stanovanjske stavbe";"2017";33
"Ajdovšèina";"Stanovanjske stavbe";"2018";42
"Ajdovšèina";"Stanovanjske stavbe";"2019";38
"Ajdovšèina";"Stanovanjske stavbe";"2020";42
"Ajdovšèina";"Nestanovanjske stavbe";"2007";19
"Ajdovšèina";"Nestanovanjske stavbe";"2008";9
"Ajdovšèina";"Nestanovanjske stavbe";"2009";22
"Ajdovšèina";"Nestanovanjske stavbe";"2010";15
"Ajdovšèina";"Nestanovanjske stavbe";"2011";27
"Ajdovšèina";"Nestanovanjske stavbe";"2012";11
"Ajdovšèina";"Nestanovanjske stavbe";"2013";23
"Ajdovšèina";"Nestanovanjske stavbe";"2014";11
"Ajdovšèina";"Nestanovanjske stavbe";"2015";49
"Ajdovšèina";"Nestanovanjske stavbe";"2016";66
"Ajdovšèina";"Nestanovanjske stavbe";"2017";60
"Ajdovšèina";"Nestanovanjske stavbe";"2018";36
"Ajdovšèina";"Nestanovanjske stavbe";"2019";39
"Ajdovšèina";"Nestanovanjske stavbe";"2020";46
"Ankaran/Ancarano";"Stanovanjske stavbe";"2007";NA
"Ankaran/Ancarano";"Stanovanjske stavbe";"2008";NA
"Ankaran/Ancarano";"Stanovanjske stavbe";"2009";NA
"Ankaran/Ancarano";"Stanovanjske stavbe";"2010";NA
"Ankaran/Ancarano";"Stanovanjske stavbe";"2011";NA
"Ankaran/Ancarano";"Stanovanjske stavbe";"2012";NA
"Ankaran/Ancarano";"Stanovanjske stavbe";"2013";NA
"Ankaran/Ancarano";"Stanovanjske stavbe";"2014";NA
"Ankaran/Ancarano";"Stanovanjske stavbe";"2015";3
"Ankaran/Ancarano";"Stanovanjske stavbe";"2016";1
"Ankaran/Ancarano";"Stanovanjske stavbe";"2017";1
"Ankaran/Ancarano";"Stanovanjske stavbe";"2018";0
"Ankaran/Ancarano";"Stanovanjske stavbe";"2019";0
"Ankaran/Ancarano";"Stanovanjske stavbe";"2020";0
"Ankaran/Ancarano";"Nestanovanjske stavbe";"2007";NA
"Ankaran/Ancarano";"Nestanovanjske stavbe";"2008";NA
"Ankaran/Ancarano";"Nestanovanjske stavbe";"2009";NA
"Ankaran/Ancarano";"Nestanovanjske stavbe";"2010";NA
