date;sex;age;cumulative;daily
2020-03-04;male;0-4;0;0
2020-03-04;male;5-14;0;0
2020-03-04;male;15-24;0;0
2020-03-04;male;25-34;0;0
2020-03-04;male;35-44;0;0
2020-03-04;male;45-54;0;0
2020-03-04;male;55-64;1;1
2020-03-04;male;65-74;0;0
2020-03-04;male;75-84;0;0
2020-03-04;female;0-4;0;0
2020-03-04;female;5-14;0;0
2020-03-04;female;15-24;0;0
2020-03-04;female;25-34;0;0
2020-03-04;female;35-44;0;0
2020-03-04;female;45-54;0;0
2020-03-04;female;55-64;0;0
2020-03-04;female;65-74;0;0
2020-03-04;female;75-84;0;0
2020-03-04;unknown;0-4;0;0
2020-03-04;unknown;5-14;0;0
2020-03-04;unknown;15-24;0;0
2020-03-04;unknown;25-34;0;0
2020-03-04;unknown;35-44;0;0
2020-03-04;unknown;45-54;0;0
2020-03-04;unknown;55-64;0;0
2020-03-04;unknown;65-74;0;0
2020-03-04;unknown;75-84;0;0
2020-03-05;male;0-4;0;0
2020-03-05;male;5-14;0;0
2020-03-05;male;15-24;0;0
2020-03-05;male;25-34;2;2
2020-03-05;male;35-44;1;1
2020-03-05;male;45-54;0;0
2020-03-05;male;55-64;1;0
2020-03-05;male;65-74;1;1
2020-03-05;male;75-84;0;0
2020-03-05;female;0-4;0;0
2020-03-05;female;5-14;0;0
2020-03-05;female;15-24;0;0
2020-03-05;female;25-34;0;0
2020-03-05;female;35-44;0;0
2020-03-05;female;45-54;1;1
2020-03-05;female;55-64;0;0
2020-03-05;female;65-74;0;0
2020-03-05;female;75-84;0;0
2020-03-05;unknown;0-4;0;0
2020-03-05;unknown;5-14;0;0
2020-03-05;unknown;15-24;0;0
2020-03-05;unknown;25-34;0;0
2020-03-05;unknown;35-44;0;0
2020-03-05;unknown;45-54;0;0
2020-03-05;unknown;55-64;0;0
2020-03-05;unknown;65-74;0;0
2020-03-05;unknown;75-84;0;0
2020-03-06;male;0-4;0;0
2020-03-06;male;5-14;0;0
2020-03-06;male;15-24;0;0
2020-03-06;male;25-34;2;0
2020-03-06;male;35-44;1;0
2020-03-06;male;45-54;1;1
2020-03-06;male;55-64;3;2
2020-03-06;male;65-74;1;0
2020-03-06;male;75-84;0;0
2020-03-06;female;0-4;0;0
2020-03-06;female;5-14;0;0
2020-03-06;female;15-24;0;0
2020-03-06;female;25-34;1;1
2020-03-06;female;35-44;0;0
2020-03-06;female;45-54;1;0
2020-03-06;female;55-64;0;0
2020-03-06;female;65-74;0;0
2020-03-06;female;75-84;0;0
2020-03-06;unknown;0-4;0;0
2020-03-06;unknown;5-14;0;0
2020-03-06;unknown;15-24;0;0
2020-03-06;unknown;25-34;0;0
2020-03-06;unknown;35-44;0;0
2020-03-06;unknown;45-54;0;0
2020-03-06;unknown;55-64;0;0
2020-03-06;unknown;65-74;0;0
2020-03-06;unknown;75-84;0;0
2020-03-07;male;0-4;0;0
2020-03-07;male;5-14;0;0
2020-03-07;male;15-24;0;0
2020-03-07;male;25-34;4;2
2020-03-07;male;35-44;1;0
2020-03-07;male;45-54;1;0
2020-03-07;male;55-64;3;0
2020-03-07;male;65-74;1;0
2020-03-07;male;75-84;0;0
2020-03-07;female;0-4;0;0
2020-03-07;female;5-14;0;0
2020-03-07;female;15-24;0;0
2020-03-07;female;25-34;3;2
2020-03-07;female;35-44;0;0
2020-03-07;female;45-54;1;0
2020-03-07;female;55-64;0;0
2020-03-07;female;65-74;1;1
2020-03-07;female;75-84;0;0
2020-03-07;unknown;0-4;0;0
2020-03-07;unknown;5-14;0;0
2020-03-07;unknown;15-24;0;0
2020-03-07;unknown;25-34;0;0
2020-03-07;unknown;35-44;0;0
2020-03-07;unknown;45-54;0;0
2020-03-07;unknown;55-64;0;0
2020-03-07;unknown;65-74;0;0
2020-03-07;unknown;75-84;0;0
2020-03-08;male;0-4;0;0
2020-03-08;male;5-14;0;0
2020-03-08;male;15-24;0;0
2020-03-08;male;25-34;4;0
2020-03-08;male;35-44;1;0
2020-03-08;male;45-54;1;0
2020-03-08;male;55-64;4;1
2020-03-08;male;65-74;2;1
2020-03-08;male;75-84;0;0
2020-03-08;female;0-4;0;0
2020-03-08;female;5-14;0;0
2020-03-08;female;15-24;0;0
2020-03-08;female;25-34;3;0
2020-03-08;female;35-44;0;0
2020-03-08;female;45-54;2;1
2020-03-08;female;55-64;2;2
2020-03-08;female;65-74;1;0
2020-03-08;female;75-84;0;0
2020-03-08;unknown;0-4;0;0
2020-03-08;unknown;5-14;0;0
2020-03-08;unknown;15-24;0;0
2020-03-08;unknown;25-34;0;0
2020-03-08;unknown;35-44;0;0
2020-03-08;unknown;45-54;0;0
2020-03-08;unknown;55-64;0;0
2020-03-08;unknown;65-74;0;0
2020-03-08;unknown;75-84;0;0
2020-03-09;male;0-4;0;0
2020-03-09;male;5-14;0;0
2020-03-09;male;15-24;1;1
2020-03-09;male;25-34;5;1
2020-03-09;male;35-44;1;0
2020-03-09;male;45-54;1;0
2020-03-09;male;55-64;5;1
2020-03-09;male;65-74;4;2
2020-03-09;male;75-84;0;0
2020-03-09;female;0-4;0;0
2020-03-09;female;5-14;0;0
2020-03-09;female;15-24;0;0
2020-03-09;female;25-34;5;2
2020-03-09;female;35-44;1;1
2020-03-09;female;45-54;2;0
2020-03-09;female;55-64;4;2
2020-03-09;female;65-74;1;0
2020-03-09;female;75-84;0;0
2020-03-09;unknown;0-4;0;0
2020-03-09;unknown;5-14;0;0
2020-03-09;unknown;15-24;0;0
2020-03-09;unknown;25-34;0;0
2020-03-09;unknown;35-44;0;0
2020-03-09;unknown;45-54;0;0
2020-03-09;unknown;55-64;0;0
2020-03-09;unknown;65-74;0;0
2020-03-09;unknown;75-84;0;0
2020-03-10;male;0-4;0;0
2020-03-10;male;5-14;0;0
2020-03-10;male;15-24;1;0
2020-03-10;male;25-34;6;1
2020-03-10;male;35-44;2;1
2020-03-10;male;45-54;2;1
2020-03-10;male;55-64;7;2
2020-03-10;male;65-74;5;1
2020-03-10;male;75-84;0;0
2020-03-10;female;0-4;0;0
2020-03-10;female;5-14;0;0
2020-03-10;female;15-24;1;1
2020-03-10;female;25-34;8;3
2020-03-10;female;35-44;1;0
2020-03-10;female;45-54;4;2
2020-03-10;female;55-64;8;4
2020-03-10;female;65-74;1;0
2020-03-10;female;75-84;0;0
2020-03-10;unknown;0-4;0;0
2020-03-10;unknown;5-14;0;0
2020-03-10;unknown;15-24;0;0
2020-03-10;unknown;25-34;0;0
2020-03-10;unknown;35-44;0;0
2020-03-10;unknown;45-54;0;0
2020-03-10;unknown;55-64;0;0
2020-03-10;unknown;65-74;0;0
2020-03-10;unknown;75-84;0;0
2020-03-11;male;0-4;0;0
2020-03-11;male;5-14;1;1
2020-03-11;male;15-24;2;1
2020-03-11;male;25-34;10;4
2020-03-11;male;35-44;5;3
2020-03-11;male;45-54;5;3
2020-03-11;male;55-64;9;2
2020-03-11;male;65-74;6;1
2020-03-11;male;75-84;0;0
2020-03-11;female;0-4;0;0
2020-03-11;female;5-14;1;1
2020-03-11;female;15-24;1;0
2020-03-11;female;25-34;15;7
2020-03-11;female;35-44;5;4
2020-03-11;female;45-54;5;1
2020-03-11;female;55-64;12;4
2020-03-11;female;65-74;2;1
2020-03-11;female;75-84;1;1
2020-03-11;unknown;0-4;0;0
2020-03-11;unknown;5-14;0;0
2020-03-11;unknown;15-24;0;0
2020-03-11;unknown;25-34;0;0
2020-03-11;unknown;35-44;0;0
2020-03-11;unknown;45-54;0;0
2020-03-11;unknown;55-64;0;0
2020-03-11;unknown;65-74;0;0
2020-03-11;unknown;75-84;0;0
2020-03-12;male;0-4;0;0
2020-03-12;male;5-14;5;4
2020-03-12;male;15-24;5;3
2020-03-12;male;25-34;18;8
2020-03-12;male;35-44;9;4
2020-03-12;male;45-54;9;4
2020-03-12;male;55-64;15;6
2020-03-12;male;65-74;6;0
2020-03-12;male;75-84;0;0
2020-03-12;female;0-4;0;0
2020-03-12;female;5-14;3;2
2020-03-12;female;15-24;4;3
2020-03-12;female;25-34;19;4
2020-03-12;female;35-44;7;2
2020-03-12;female;45-54;8;3
2020-03-12;female;55-64;17;5
2020-03-12;female;65-74;2;0
2020-03-12;female;75-84;1;0
2020-03-12;unknown;0-4;0;0
2020-03-12;unknown;5-14;0;0
2020-03-12;unknown;15-24;0;0
2020-03-12;unknown;25-34;0;0
2020-03-12;unknown;35-44;0;0
2020-03-12;unknown;45-54;0;0
2020-03-12;unknown;55-64;0;0
2020-03-12;unknown;65-74;0;0
2020-03-12;unknown;75-84;0;0
2020-03-13;male;0-4;0;0
2020-03-13;male;5-14;5;0
2020-03-13;male;15-24;8;3
2020-03-13;male;25-34;21;3
2020-03-13;male;35-44;10;1
2020-03-13;male;45-54;16;7
2020-03-13;male;55-64;15;0
2020-03-13;male;65-74;10;4
2020-03-13;male;75-84;2;2
2020-03-13;female;0-4;0;0
2020-03-13;female;5-14;7;4
2020-03-13;female;15-24;5;1
2020-03-13;female;25-34;22;3
2020-03-13;female;35-44;14;7
2020-03-13;female;45-54;13;5
2020-03-13;female;55-64;21;4
2020-03-13;female;65-74;2;0
2020-03-13;female;75-84;1;0
2020-03-13;unknown;0-4;0;0
2020-03-13;unknown;5-14;0;0
2020-03-13;unknown;15-24;0;0
2020-03-13;unknown;25-34;0;0
2020-03-13;unknown;35-44;0;0
2020-03-13;unknown;45-54;0;0
2020-03-13;unknown;55-64;0;0
2020-03-13;unknown;65-74;0;0
2020-03-13;unknown;75-84;0;0
2020-03-14;male;0-4;0;0
2020-03-14;male;5-14;7;2
2020-03-14;male;15-24;10;2
2020-03-14;male;25-34;25;4
2020-03-14;male;35-44;13;3
2020-03-14;male;45-54;19;3
2020-03-14;male;55-64;15;0
2020-03-14;male;65-74;12;2
2020-03-14;male;75-84;3;1
2020-03-14;female;0-4;0;0
2020-03-14;female;5-14;9;2
2020-03-14;female;15-24;8;3
2020-03-14;female;25-34;26;4
2020-03-14;female;35-44;20;6
2020-03-14;female;45-54;14;1
2020-03-14;female;55-64;24;3
2020-03-14;female;65-74;2;0
2020-03-14;female;75-84;1;0
2020-03-14;unknown;0-4;0;0
2020-03-14;unknown;5-14;0;0
2020-03-14;unknown;15-24;0;0
2020-03-14;unknown;25-34;0;0
2020-03-14;unknown;35-44;0;0
2020-03-14;unknown;45-54;0;0
2020-03-14;unknown;55-64;0;0
2020-03-14;unknown;65-74;0;0
2020-03-14;unknown;75-84;0;0
2020-03-15;male;0-4;0;0
2020-03-15;male;5-14;8;1
2020-03-15;male;15-24;11;1
2020-03-15;male;25-34;30;5
2020-03-15;male;35-44;18;5
2020-03-15;male;45-54;22;3
2020-03-15;male;55-64;21;6
2020-03-15;male;65-74;12;0
2020-03-15;male;75-84;3;0
2020-03-15;female;0-4;0;0
2020-03-15;female;5-14;9;0
2020-03-15;female;15-24;10;2
2020-03-15;female;25-34;28;2
2020-03-15;female;35-44;24;4
2020-03-15;female;45-54;19;5
2020-03-15;female;55-64;24;0
2020-03-15;female;65-74;3;1
2020-03-15;female;75-84;1;0
2020-03-15;unknown;0-4;0;0
2020-03-15;unknown;5-14;0;0
2020-03-15;unknown;15-24;0;0
2020-03-15;unknown;25-34;0;0
2020-03-15;unknown;35-44;0;0
2020-03-15;unknown;45-54;0;0
2020-03-15;unknown;55-64;0;0
2020-03-15;unknown;65-74;0;0
2020-03-15;unknown;75-84;0;0
2020-03-16;male;0-4;0;0
2020-03-16;male;5-14;9;1
2020-03-16;male;15-24;11;0
2020-03-16;male;25-34;35;5
2020-03-16;male;35-44;20;2
2020-03-16;male;45-54;24;2
2020-03-16;male;55-64;24;3
2020-03-16;male;65-74;12;0
2020-03-16;male;75-84;3;0
2020-03-16;female;0-4;0;0
2020-03-16;female;5-14;9;0
2020-03-16;female;15-24;12;2
2020-03-16;female;25-34;30;2
2020-03-16;female;35-44;25;1
2020-03-16;female;45-54;22;3
2020-03-16;female;55-64;29;5
2020-03-16;female;65-74;3;0
2020-03-16;female;75-84;1;0
2020-03-16;unknown;0-4;0;0
2020-03-16;unknown;5-14;0;0
2020-03-16;unknown;15-24;0;0
2020-03-16;unknown;25-34;0;0
2020-03-16;unknown;35-44;0;0
2020-03-16;unknown;45-54;0;0
2020-03-16;unknown;55-64;0;0
2020-03-16;unknown;65-74;0;0
2020-03-16;unknown;75-84;0;0
2020-03-17;male;0-4;1;1
2020-03-17;male;5-14;9;0
2020-03-17;male;15-24;12;1
2020-03-17;male;25-34;36;1
2020-03-17;male;35-44;21;1
2020-03-17;male;45-54;26;2
2020-03-17;male;55-64;24;0
2020-03-17;male;65-74;12;0
2020-03-17;male;75-84;3;0
2020-03-17;female;0-4;0;0
2020-03-17;female;5-14;9;0
2020-03-17;female;15-24;12;0
2020-03-17;female;25-34;31;1
2020-03-17;female;35-44;26;1
2020-03-17;female;45-54;23;1
2020-03-17;female;55-64;30;1
2020-03-17;female;65-74;3;0
2020-03-17;female;75-84;1;0
2020-03-17;unknown;0-4;0;0
2020-03-17;unknown;5-14;0;0
2020-03-17;unknown;15-24;0;0
2020-03-17;unknown;25-34;0;0
2020-03-17;unknown;35-44;0;0
2020-03-17;unknown;45-54;0;0
2020-03-17;unknown;55-64;0;0
2020-03-17;unknown;65-74;0;0
2020-03-17;unknown;75-84;0;0
2020-03-18;male;0-4;1;0
2020-03-18;male;5-14;9;0
2020-03-18;male;15-24;13;1
2020-03-18;male;25-34;38;2
2020-03-18;male;35-44;25;4
2020-03-18;male;45-54;29;3
2020-03-18;male;55-64;24;0
2020-03-18;male;65-74;13;1
2020-03-18;male;75-84;4;1
2020-03-18;female;0-4;0;0
2020-03-18;female;5-14;9;0
2020-03-18;female;15-24;13;1
2020-03-18;female;25-34;35;4
2020-03-18;female;35-44;28;2
2020-03-18;female;45-54;27;4
2020-03-18;female;55-64;31;1
2020-03-18;female;65-74;5;2
2020-03-18;female;75-84;4;3
2020-03-18;unknown;0-4;0;0
2020-03-18;unknown;5-14;0;0
2020-03-18;unknown;15-24;0;0
2020-03-18;unknown;25-34;0;0
2020-03-18;unknown;35-44;0;0
2020-03-18;unknown;45-54;0;0
2020-03-18;unknown;55-64;0;0
2020-03-18;unknown;65-74;0;0
2020-03-18;unknown;75-84;0;0
2020-03-19;male;0-4;1;0
2020-03-19;male;5-14;9;0
2020-03-19;male;15-24;14;1
2020-03-19;male;25-34;40;2
2020-03-19;male;35-44;25;0
2020-03-19;male;45-54;32;3
2020-03-19;male;55-64;27;3
2020-03-19;male;65-74;14;1
2020-03-19;male;75-84;6;2
2020-03-19;female;0-4;0;0
2020-03-19;female;5-14;9;0
2020-03-19;female;15-24;13;0
2020-03-19;female;25-34;38;3
2020-03-19;female;35-44;30;2
2020-03-19;female;45-54;27;0
2020-03-19;female;55-64;31;0
2020-03-19;female;65-74;6;1
2020-03-19;female;75-84;6;2
2020-03-19;unknown;0-4;0;0
2020-03-19;unknown;5-14;0;0
2020-03-19;unknown;15-24;0;0
2020-03-19;unknown;25-34;0;0
2020-03-19;unknown;35-44;0;0
2020-03-19;unknown;45-54;0;0
2020-03-19;unknown;55-64;0;0
2020-03-19;unknown;65-74;0;0
2020-03-19;unknown;75-84;0;0
2020-03-20;male;0-4;1;0
2020-03-20;male;5-14;9;0
2020-03-20;male;15-24;15;1
2020-03-20;male;25-34;45;5
2020-03-20;male;35-44;27;2
2020-03-20;male;45-54;33;1
2020-03-20;male;55-64;29;2
2020-03-20;male;65-74;16;2
2020-03-20;male;75-84;8;2
2020-03-20;female;0-4;0;0
2020-03-20;female;5-14;9;0
2020-03-20;female;15-24;13;0
2020-03-20;female;25-34;39;1
2020-03-20;female;35-44;32;2
2020-03-20;female;45-54;33;6
2020-03-20;female;55-64;33;2
2020-03-20;female;65-74;8;2
2020-03-20;female;75-84;6;0
2020-03-20;unknown;0-4;0;0
2020-03-20;unknown;5-14;0;0
2020-03-20;unknown;15-24;0;0
2020-03-20;unknown;25-34;0;0
2020-03-20;unknown;35-44;0;0
2020-03-20;unknown;45-54;0;0
2020-03-20;unknown;55-64;0;0
2020-03-20;unknown;65-74;0;0
2020-03-20;unknown;75-84;0;0
2020-03-21;male;0-4;1;0
2020-03-21;male;5-14;10;1
2020-03-21;male;15-24;15;0
2020-03-21;male;25-34;48;3
2020-03-21;male;35-44;31;4
2020-03-21;male;45-54;37;4
2020-03-21;male;55-64;31;2
2020-03-21;male;65-74;18;2
2020-03-21;male;75-84;10;2
2020-03-21;female;0-4;0;0
2020-03-21;female;5-14;9;0
2020-03-21;female;15-24;14;1
2020-03-21;female;25-34;40;1
2020-03-21;female;35-44;34;2
2020-03-21;female;45-54;36;3
2020-03-21;female;55-64;34;1
2020-03-21;female;65-74;11;3
2020-03-21;female;75-84;9;3
